,formatted_readme,summary,prompt_text,generated_summary
0,//TODO: get SQL rendering out of this package!,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: get SQL rendering out of this package!

### Response:",DESIGN.
1,"// TODO // This assumes we only get a SET notification, which isn't a good assumption. //",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO // This assumes we only get a SET notification, which isn't a good assumption. //

### Response:",DEFECT.
2,// TODO: Should be anything allowed by current diagram,IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Should be anything allowed by current diagram

### Response:",DESIGN.
3,// TODO: How does the pressed cancel become a java.lang.Exception?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: How does the pressed cancel become a java.lang.Exception?

### Response:",DEFECT.
4,"/* * * A Dom tree panel for to display response as tree view author <a * href=""mailto:d.maung Maung</a> * TODO implement to find any nodes in the tree using TreePath. * */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* * * A Dom tree panel for to display response as tree view author <a * href=""mailto:d.maung Maung</a> * TODO implement to find any nodes in the tree using TreePath. * */

### Response:",IMPLEMENTATION.
5,"/** * TODO: This name of the expression language should be * configurable by the user. <p> * * According to the UML standard, * the expression language should be the same * for all elements in one diagram. <p> * * UML is not a sensible default - usually this is some pseudo-language. * * the name of the expression language */",IMPLEMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * TODO: This name of the expression language should be * configurable by the user. <p> * * According to the UML standard, * the expression language should be the same * for all elements in one diagram. <p> * * UML is not a sensible default - usually this is some pseudo-language. * * the name of the expression language */

### Response:",DESIGN.
6,"/* * The following variables are set by StandardJMeterEngine. * This is done before start() is called, so the values will be published to the thread safely * TODO - consider passing them to the constructor, so that they can be made final * (to avoid adding lots of parameters, perhaps have a parameter wrapper object. */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* * The following variables are set by StandardJMeterEngine. * This is done before start() is called, so the values will be published to the thread safely * TODO - consider passing them to the constructor, so that they can be made final * (to avoid adding lots of parameters, perhaps have a parameter wrapper object. */

### Response:",DESIGN.
7,// TODO turn into method?,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO turn into method?

### Response:",DESIGN.
8,/* * END-KLUDGE */,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* * END-KLUDGE */

### Response:",DESIGN.
9,//TODO: code duplication with SingleTableEntityPersister,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
//TODO: code duplication with SingleTableEntityPersister

### Response:",DESIGN. Duplicate code.
10,// TODO: We really want this class to have package scope however the reflection,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: We really want this class to have package scope however the reflection

### Response:",DESIGN.
11,/** * **FIXME** This function needs documentation * * Constructor * * String * Name * */,DOCUMENTATION,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/** * **FIXME** This function needs documentation * * Constructor * * String * Name * */

### Response:",DOCUMENTATION.
12,"// Perhaps if Xerces wasn't slightly brain-damaged, we would // not need this",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// Perhaps if Xerces wasn't slightly brain-damaged, we would // not need this

### Response:",DESIGN.
13,// TODO: Move to GEF,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO: Move to GEF

### Response:",DESIGN.
14,"/* * TODO: This is probably not the right location * for switching off the ""filterNewlines"". * The setting gets lost after selecting a different * ModelElement in the diagram. * BTW, see how it is used in * javax.swing.text.PlainDocument. * See issue 1812. */",DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
/* * TODO: This is probably not the right location * for switching off the ""filterNewlines"". * The setting gets lost after selecting a different * ModelElement in the diagram. * BTW, see how it is used in * javax.swing.text.PlainDocument. * See issue 1812. */

### Response:",DEFECT.
15,// TODO verify this is correct,DESIGN,"### Instruction: Classify the following text as DEFECT, DESIGN, DOCUMENTATION,  IMPLEMENTATION, or TEST. Use just one class.

### Input:
// TODO verify this is correct

### Response:",DESIGN.
